section,subsection,component_id,description,selling_price_gbp,lead_time_days
BOILERS,Combi Natural Gas,CBLR1366,Worcester Greenstar 25Si Compact ErP,1237.45,0
BOILERS,Combi Natural Gas,CBLR1368,Worcester Greenstar 30Si Compact ErP,1409.84,0
BOILERS,Combi Natural Gas,CBLR3446,Worcester Greenstar 32CDi Compact,1541.88,1
BOILERS,Combi Natural Gas,CBLR3447,Worcester Greenstar 36CDi Compact,1670.24,1
BOILERS,Combi Natural Gas,CBLR3501,Worcester Greenstar 8000 Style 35kW Combi (White and Chrome),1741.1,0
BOILERS,Combi Natural Gas,CBLR3502,Worcester Greenstar 8000 Style 40kW Combi (White and Chrome),1929.12,0
BOILERS,Combi Natural Gas,CBLR3505,Worcester Greenstar 8000 Style 30kW Combi (Black and Chrome),1765.03,0
BOILERS,Combi Natural Gas,CBLR3507,Worcester Greenstar 8000 Style 40kW Combi (Black and Chrome),2090.88,0
BOILERS,Combi Natural Gas,CBLR3528,Worcester Greenstar 8000 Life 30kW Combi,1611.37,0
BOILERS,Combi Natural Gas,CBLR3529,Worcester Greenstar 8000 Life 35kW Combi,1741.1,0
BOILERS,Combi Natural Gas,CBLR3530,Worcester Greenstar 8000 Life 40kW Combi,1961.66,0
BOILERS,Combi Natural Gas,CBLR3531,Worcester Greenstar 8000 Life 45kW Combi,2208.64,0
BOILERS,Combi Natural Gas,CBLR3562,Worcester Greenstar 8000+ 40kW Combi NG,1967.6,3
BOILERS,Combi Natural Gas,CBLR3532,Worcester Greenstar 8000 Life 50kW Combi,2319.25,0
BOILERS,Combi Natural Gas,CBLR3434,Vaillant ecoTEC+ 825,1284.67,0
BOILERS,Combi Natural Gas,CBLR3420,Vaillant ecoFIT pure 825,1188.24,3
BOILERS,Combi Natural Gas,CBLR3421,Vaillant ecoFIT pure 830,1333.01,1
BOILERS,Combi Natural Gas,CBLR3422,Vaillant ecoFIT pure 835,1574.3,3
BOILERS,Combi Natural Gas,CBLR3435,Vaillant ecoTEC+ 832,1448.75,0
BOILERS,Combi Natural Gas,CBLR3437,Vaillant ecoTEC+ 835,1523.86,0
BOILERS,Combi Natural Gas,CBLR3438,Vaillant ecoTEC+ 838,1610.71,0
BOILERS,Combi Natural Gas,CBLR3439,Vaillant ecoTEC pro 24,1118.35,3
BOILERS,Combi Natural Gas,CBLR3440,Vaillant ecoTEC pro 28,1183.79,3
BOILERS,Combi Natural Gas,CBLR3385,Vaillant ecoTEC pro 30 ErP,1238.62,3
BOILERS,Combi Natural Gas,CBLR3382,Glowworm Energy7 25c ErP,1030.33,3
BOILERS,Combi Natural Gas,CBLR3383,Glowworm Energy7 30c ErP,1140.94,1
BOILERS,Combi Natural Gas,CBLR3384,Glowworm Energy7 35c ErP,1401.54,3
BOILERS,Combi Natural Gas,CBLR1390,Worcester Greenstar Highflow 440 CDi ErP,2458.39,3
BOILERS,Combi Natural Gas,CBLR3444,Worcester Greenstar Highflow 550CDi,3050.98,3
BOILERS,Combi Natural Gas,CBLR3600,Worcester Greenstar 4000 25kW Combi NG,1176.65,1
BOILERS,Combi Natural Gas,CBLR3602,Worcester Greenstar 4000 30kW Combi NG,1392.66,1
BOILERS,Combi Natural Gas,CBLR3504,Worcester Greenstar 8000 Style 50kW Combi (White and Chrome),2479.85,0
BOILERS,Combi Natural Gas,CBLR3503,Worcester Greenstar 8000 Style 45kW Combi (White and Chrome),2369.24,0
BOILERS,Combi Natural Gas,CBLR3508,Worcester Greenstar 8000 Style 45kW Combi (Black and Chrome),2369.24,0
BOILERS,Combi Natural Gas,CBLR3509,Worcester Greenstar 8000 Style 50kW Combi (Black and Chrome),2479.85,0
BOILERS,Combi Natural Gas,CBLR3506,Worcester Greenstar 8000 Style 35kW Combi (Black and Chrome),1894.75,0
BOILERS,Combi Natural Gas,CBLR3561,Worcester Greenstar 8000+ 36kW Combi NG,1772.8,3
BOILERS,Combi Natural Gas,CBLR3563,Worcester Greenstar 8000+ 45kW Combi NG,2257.2,5
BOILERS,Combi Natural Gas,CBLR3564,Worcester Greenstar 8000+ 50kW Combi NG,2371.8,7
BOILERS,Combi Natural Gas,CBLR3701,Viessmann Vitodens 100-W 16 kW,1196.64,0
BOILERS,Combi Natural Gas,CBLR3000,Keston Combi 2 C30 Combination Boiler,1812.97,7
