section,subsection,component_id,description,selling_price_gbp,lead_time_days
BOILERS,Conventional Natural Gas,CBLR3453,Worcester Greenstar Ri 12kW - Regular,935.16,1
BOILERS,Conventional Natural Gas,CBLR3455,Worcester Greenstar Ri 15kW - Regular,1003.1,1
BOILERS,Conventional Natural Gas,CBLR3457,Worcester Greenstar Ri 18kW - Regular,1035.14,1
BOILERS,Conventional Natural Gas,CBLR3461,Worcester Greenstar Ri 24kW - Regular,1100.4,1
BOILERS,Conventional Natural Gas,CBLR1380,Worcester Greenstar 30Ri ErP - Regular,1218.35,1
BOILERS,Conventional Natural Gas,CBLR1388,Worcester Greenstar FS 30CDi ErP - Regular,2071.66,3
BOILERS,Conventional Natural Gas,CBLR1389,Worcester Greenstar FS 42CDi ErP - Regular,2691.74,3
BOILERS,Conventional Natural Gas,CBLR3538,Worcester Greenstar 8000 Life 30kW Regular,1776.82,0
BOILERS,Conventional Natural Gas,CBLR3539,Worcester Greenstar 8000 Life 35kW Regular,1961.66,0
BOILERS,Conventional Natural Gas,CBLR3540,Worcester Greenstar 8000 Life 40kW Regular,2308.37,0
BOILERS,Conventional Natural Gas,CBLR3541,Worcester Greenstar 8000 Life 45kW Regular,2506.49,0
BOILERS,Conventional Natural Gas,CBLR3542,Worcester Greenstar 8000 Life 50kW Regular,2655.08,0
BOILERS,Conventional Natural Gas,CBLR3512,Worcester Greenstar 8000 Style 30kW System (Black and Chrome),1653.26,0
BOILERS,Conventional Natural Gas,CBLR3575,Worcester Greenstar 8000+ 35kW Regular NG,1952.8,1
BOILERS,Conventional Natural Gas,CBLR3576,Worcester Greenstar 8000+ 40kW Regular NG,2143.8,3
BOILERS,Conventional Natural Gas,CBLR3577,Worcester Greenstar 8000+ 45kW Regular NG,2428.6,5
BOILERS,Conventional Natural Gas,CBLR3578,Worcester Greenstar 8000+ 50kW Regular NG,2546.8,5
BOILERS,Conventional Natural Gas,CBLR3375,Glowworm Energy7 12r – Regular,911.41,3
BOILERS,Conventional Natural Gas,CBLR3377,Glowworm Energy7 18r - Regular,1042.3,1
BOILERS,Conventional Natural Gas,CBLR3376,Glowworm Energy7 15r - Regular,955.43,1
