section,subsection,component_id,description,selling_price_gbp,lead_time_days
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P119,Install controls (2 x22mm 2port) with BG Dual Chan Prog,521.29,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P120,Install controls (22mm 3 port) with BG Dual Chan Prog,434.01,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P121,Install controls (22 & 28 2 port) with BG Dual Chan Prog,485.05,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P1192,Install controls (3x22mm 2port)3 chan prog,729.67,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P1193,Install controls (2x22mm 2 port) No prog inc'd,399.5,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P1203,Install controls (22mm 3 port) No prog,307.2,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P1212,Install controls (2 x 22&28 2 port) 3 chan prog,659.89,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P1213,Install controls (22 & 28mm 2 port) no prog,406.22,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P1214,Install controls (22&35mm 2port) With BG Dual Chan Prog,1209.83,3
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P1216,Install Controls Unvented Cylinder (22mm Zone Vlv),254.44,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P1217,Install Controls Unvented Cylinder (28mm Zone Vlv),254.44,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P283,"RC Controls (22mm 3port) Wirelss Stat, Dual Chan Prog, CS1, & WC1",492.02,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P284,"RC Controls (22mm 3port) RC+,CS1,UT2 & WC1",469.28,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P285,"RC Controls (2x22mm 2port) Wirelss Stat, Dual Chan Prog, CS1, & WC1",632.13,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P286,"RC Controls (2x22mm 2port) RC+,CS1,UT2 & WC1",565.33,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P288,"RC Controls(22 & 28mm 2 Port)Wirelss Stat, Dual Chan Prog, CS1, & WC1",570.46,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P289,"RC Controls(22mm 3 Port) Wireless Stat, CS1, WC1, No Prog",352.23,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P290,"RC Controls(22mm 2port) Wireless Stat, CS1, WC1, No Prog",354.04,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P291,"RC Controls(22 & 28mm 2 Port) T4RF,CS1,WC1,No Prog",449.62,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P292,"RC Controls (22mm & 28mm 2 port) RC+,UT2,CS1,WC1",591.37,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P252,Single zone valve pack (22mm),128.5,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2521,Single zone valve pack (28mm),128.5,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2522,Single zone valve pack (35mm),702.92,3
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2523,Single 'Y' Plan Replacement Pack,122.88,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P251,22mm Mid position zone valve,112.91,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2512,22mm single zone valve,112.91,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2513,28mm single zone valve,117.43,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2514,35mm single zone valve,843.31,3
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P140,Fit frost protection (air and pipe stat),125.33,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P141,Fit frost protection (air thermostat),70.81,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P1412,Frost Thermostat (Pipe Stat Only),70.28,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P142,British Gas 1 Channel Digital Timer (wired),129.59,1
