section,subsection,component_id,description,selling_price_gbp,lead_time_days
Core Packs,Full System,P100,FCH Core Pack WM & FS (up to 18kW),3110.6,1
Core Packs,Full System,P104,FCH core pack combi/system boiler,3259.3,1
Core Packs,Full System,P108,FCH Core Pack WM & FS (up to 35kW),3406.49,1
Core Packs,Full System,P1131,FCH Core Pack WM & FS (up to 44kW),3891.77,3
Core Packs,Full System,P1081,"FCH Core Pack 70/120,000 Blr no Pump",3238.0,1
Core Packs,Full System,P110,FCH Core Pack FS (up to 35kW),3628.6,1
Core Packs,Full System,P1101,FCH Core Pack FS (up to 44kW),3911.41,1
Core Packs,Full System,P113,FCH Core Pack Sys BLR (up to 35kW),3265.36,1
Core Packs,Full System,P103,FCH Core Pack FS (up to 18kW),3324.34,1
Core Packs,Part System (can vary by district - this is the national price),P114,PCH Core Pack (up to 18kW),1431.38,1
Core Packs,Part System (can vary by district - this is the national price),P116,PCH Core Pack (up to 35kW),1591.3,1
Core Packs,Part System (can vary by district - this is the national price),P1141,PCH combi to combi replacement,1324.99,1
Core Packs,Part System (can vary by district - this is the national price),P1142,PCH conventional to combi replacement,2481.19,1
Core Packs,Part System (can vary by district - this is the national price),P1161,PCH Core Pack (up to 44kW),1964.23,1
Core Packs,Part System (can vary by district - this is the national price),P115,PCH Core Pack (up to 18kW),1667.04,1
Core Packs,Part System (can vary by district - this is the national price),P117,PCH Core Pack (up to 35kW),1673.09,1
Core Packs,Part System (can vary by district - this is the national price),P1171,PCH Core Pack (up to 44kW),2004.14,1
