section,subsection,component_id,description,selling_price_gbp,lead_time_days
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P0039,Ideal Logic PRV Kit (for combi and system boilers),72.46,3
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P2951,Connect Boiler Electrics and Test,264.5,1
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P2956,Connect Appliance Electrics and Test,253.31,1
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P132,Fit Filling Loop (Sealed System),29.05,1
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P212,Worcs Filling Loop,26.76,1
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P1322,Worcester Keyless Filling Link,32.2,1
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P1323,Altecnic Remote Filling Loop,34.08,1
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P934,Worcester Greenstar Intelligent Filling System,77.89,3
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P339,Waste collection and disposal,49.85,1
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P3600,Oil boiler waste collection,468.23,1
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P933,"Worcester Remote PRV (Greenstar i combi & i system boilers, Not 8000)",72.07,1
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P9331,Worcester 8000 Remote PRV,76.1,1
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P9332,Greenstar 4000 Remote PRV Kit,86.16,3
Core Packs,Electrics/Waste/Filling Loops/GDA/Remote PRVs,P7988,Vaillant Remote PRV,77.66,1
