section,subsection,component_id,description,selling_price_gbp,lead_time_days
BOILERS,Flue Components,P910,Worcester 100mm Horizontal Flue Kit 350mm-570mm,255.42,1
BOILERS,Flue Components,P911,Worcester 100mm Vertical Flue Kit 1090mm,256.72,1
BOILERS,Flue Components,P916,Worcester 125mm Horizontal Flue 405mm-600mm,294.36,3
BOILERS,Flue Components,P917,Worcester 125mm Vertical Flue 1365mm,283.57,3
BOILERS,Flue Components,P9218,Worcester Flat Roof Flashing,160.04,1
BOILERS,Flue Components,P9219,Worcester Pitched Roof Flashing,164.58,1
BOILERS,Flue Components,P9220,Worcester 100mm Long Telescopic Flue 570mm-790mm,255.42,1
BOILERS,Flue Components,P912,Worcester 100mm 90' Elbow,61.33,1
BOILERS,Flue Components,P913,Worcester 100mm 45' Elbow (Pair),104.75,1
BOILERS,Flue Components,P914,Worcester 100mm Flue Extension 1000mm,71.56,1
BOILERS,Flue Components,P915,Worcester 100mm Vertical Flue Adaptor,55.09,1
BOILERS,Flue Components,P918,Worcester 125mm 90' Elbow,62.68,3
BOILERS,Flue Components,P919,Worcester 125mm 45' Elbow (Pair),119.98,3
BOILERS,Flue Components,P920,Worcester 125mm Extension 990mm,82.44,3
BOILERS,Flue Components,P921,Worcester 125mm Vertical Adaptor,55.04,3
BOILERS,Flue Components,P9221,Worcester 100mm Flue Extension 2000mm,140.17,1
BOILERS,Flue Components,P9141,Worcester Fixing Bracket,16.24,1
BOILERS,Flue Components,P9142,Worcester 100mm Short Flue Extension 220mm,42.07,1
BOILERS,Flue Components,P9213,Worcester Plume Management Kit 500mm,103.76,1
BOILERS,Flue Components,P9214,Worcester Plume Management Extension 1000mm,38.04,1
BOILERS,Flue Components,P9215,Worcester Plume Management 90' Elbow,46.09,1
BOILERS,Flue Components,P9216,Worcester Plume Management 45' Elbow (Pair),53.7,1
BOILERS,Flue Components,P926,Worcester 440CDi 100mm Telescopic Horizontal Flue 350mm - 570mm,255.42,1
BOILERS,Flue Components,P927,Worcester 440CDi 100mm Vertical Flue 1140mm,266.3,1
BOILERS,Flue Components,P928,Worcester 440CDi 125mm Telescopic Horizontal Flue 1200mm,303.94,3
BOILERS,Flue Components,P929,Worcester 440CDi 125mm Vertical Flue 1365mm,300.16,3
BOILERS,Flue Components,P932,Worcester 100mm 440CDi Vertical Flue Adaptor,33.5,3
BOILERS,Flue Components,P931,Worcester 125mm 440CDi Vertical Flue Adaptor,36.34,1
BOILERS,Flue Components,P935,Worcester Silver telescopic flue (350 - 570mm),262.16,3
BOILERS,Flue Components,P936,Worcester 100mm Silver flue extension 960mm,91.33,3
BOILERS,Flue Components,P937,Worcester 100mm Silver short flue extension 220mm,46.54,3
BOILERS,Flue Components,P938,Worcester 100mm Silver 90° flue bend,61.48,3
BOILERS,Flue Components,P939,Worcester 100mm Silver 45° flue bend (Pair),95.34,3
BOILERS,Flue Components,P3374,Main Water Heater Standard Flue,165.49,1
BOILERS,Flue Components,P9143,Worcester Bosch 60/100mm Horizontal High Rise Flue Kit 890mm,287.62,3
BOILERS,Flue Components,P922,Worc 440CDi 100mm Horizontal Flue 1200mm,241.16,1
BOILERS,Flue Components,P9500,Worcester Greenstar 4000 SimpleSwitch flue adaptor,32.46,3
BOILERS,Flue Components,P7820,Vaillant 100mm Rear Horizontal Flue 336mm - 578mm,330.1,1
BOILERS,Flue Components,P7739,Vaillant 100mm Standard Horizontal Flue Kit 800mm,309.18,1
BOILERS,Flue Components,P7749,Vaillant 100mm Vertical Flue Kit 1140mm,257.38,1
BOILERS,Flue Components,P775,Vaillant Pitched Roof Weather Collar,157.13,1
BOILERS,Flue Components,P776,Vaillant Flat Roof Weather Collar,157.13,1
BOILERS,Flue Components,P7740,Vaillant 100mm Telescopic Flue Offset Section 290mm - 374mm,96.85,1
BOILERS,Flue Components,P7741,Vaillant Black Termination Kit for Horizontal Flue,51.04,1
BOILERS,Flue Components,P7742,Vaillant Variable Termination Kit 500mm (Black),98.54,1
BOILERS,Flue Components,P7743,Vaillant 1000mm Extension VTK (Black),28.63,1
BOILERS,Flue Components,P7744,Vaillant 90' Elbow VTK (Black),28.63,1
BOILERS,Flue Components,P7745,Vaillant 45' Elbow VTK (Pair) (Black),42.71,1
BOILERS,Flue Components,P7746,Vaillant Variable Termination Kit 500mm (White),85.49,1
BOILERS,Flue Components,P7747,Vaillant 1000mm Extension VTK (White),28.63,1
BOILERS,Flue Components,P7748,Vaillant 87' Elbow for VTK (White),31.99,1
BOILERS,Flue Components,P7750,Vaillant 45' Elbow for VTK (Pair) (White),43.82,1
BOILERS,Flue Components,P7751,Vaillant 100mm Flue Support Clips (5),36.06,1
BOILERS,Flue Components,P7787,Vaillant 100mm Telescopic Flue Extension 440mm - 690mm,76.56,1
BOILERS,Flue Components,P7788,Vaillant 100mm Flue Extension 1970mm,113.74,1
BOILERS,Flue Components,P7789,Vaillant 100mm Flue Extension 970mm,65.58,1
BOILERS,Flue Components,P7799,Vaillant 100mm Flue Extension 470mm,50.12,1
BOILERS,Flue Components,P7809,Vaillant 100mm 87' Elbow,53.05,1
BOILERS,Flue Components,P7819,Vaillant 100mm 45' Elbow (Pair),102.06,1
BOILERS,Flue Components,P7984,Vaillant Plume Deflector Kit (Black),52.21,1
BOILERS,Flue Components,P7985,Vaillant Plume Deflector Kit (White),52.21,1
BOILERS,Flue Components,P7736,Vaillant 60/100mm Aluminium High Rise Terminal Kit,311.77,3
BOILERS,Flue Components,P7737,Vaillant High Rise Stainless Steel 1m Extension,93.11,0
BOILERS,Flue Components,P3375,Main Water Heater 15-24' Flue,194.05,1
BOILERS,Flue Components,P7961,Glow-worm HE std horizontal flue (800mm no deflector),250.19,1
BOILERS,Flue Components,P7965,Glow-worm HE Vertical flue Terminal,257.38,1
BOILERS,Flue Components,P7966,Glow-worm HE Flat Roof Flashing,157.13,1
BOILERS,Flue Components,P7967,Glow-worm HE Pitched Roof Flashing,157.13,1
BOILERS,Flue Components,P1576,Install Baxi Flue Deflector Kit,54.89,1
BOILERS,Flue Components,P7977,Flexicom 100mm Telescopic Rear Horizontal Flue 336mm - 578mm,239.42,1
BOILERS,Flue Components,P7978,Glow-worm 100mm Standard Horizontal Flue 832mm,239.42,1
BOILERS,Flue Components,P7989,Glowworm Black Plume Deflector Kit 0020219535,48.08,1
BOILERS,Flue Components,P7990,Glowworm White Plume Deflector Kit 0020219536,48.08,1
BOILERS,Flue Components,P7975,Glow-worm HE Telescopic Flue Extension 500mm - 800mm,74.26,1
BOILERS,Flue Components,P7980,Flexicom Standard Horizontal Flue (black),224.4,1
BOILERS,Flue Components,P7962,Glow-worm HE Flue Extension 2000mm,76.56,1
BOILERS,Flue Components,P7963,Glow-worm HE Flue Extension 1000mm,50.12,1
BOILERS,Flue Components,P7964,Glow-worm HE Flue Extension 500mm,39.38,1
BOILERS,Flue Components,P7969,Glow-worm HE 45' Flue Bend (Pair),75.62,1
BOILERS,Flue Components,P7970,Glow-worm HE 90' Flue Elbow,40.72,1
BOILERS,Flue Components,P7974,Glow-worm HE Raised Horizontal Flue Adaptor,13.21,1
BOILERS,Flue Components,P79701,Glow-worm Plume Management Kit 500mm (Black),85.06,1
BOILERS,Flue Components,P79702,Glow-worm Plume Management Kit Extension 1000mm (Black),24.16,1
BOILERS,Flue Components,P79703,Glow-worm Plume Management Kit 45' Elbows (Pair) (Black),45.38,1
BOILERS,Flue Components,P79704,Glow-worm Plume Management Kit 90' Bend (Black),24.16,1
BOILERS,Flue Components,P79705,Glow-worm Plume Management Kit 500mm (White),85.06,1
BOILERS,Flue Components,P79706,Glow-worm Plume Management Kit Extension 1000mm (White),24.16,1
BOILERS,Flue Components,P79707,Glow-worm Plume Management Kit 45' Elbows (White) (Pair),45.38,1
BOILERS,Flue Components,P79708,Glow-worm Plume Management Kit 90' Bend (White),24.16,1
BOILERS,Flue Components,P79709,Glowworm Flue Support Clips 100mm (Pack of 3),31.14,1
BOILERS,Flue Components,P7991,Glowworm Black Termination Kit 0020219538,22.16,1
BOILERS,Flue Components Continued,P7916,Ideal 0.5m Telescopic Horizontal Flue (286-484mm),179.88,1
BOILERS,Flue Components Continued,P7919,Ideal 0.6m Horizontal Flue Terminal,135.48,1
BOILERS,Flue Components Continued,P7920,Ideal 0.8m Horizontal Flue Terminal,208.78,1
BOILERS,Flue Components Continued,P7921,Ideal Flue Extension 500mm,62.21,1
BOILERS,Flue Components Continued,P7922,Ideal Flue Extension 1000mm,80.48,1
BOILERS,Flue Components Continued,P7923,Ideal Flue Extension 2000mm,162.84,0
BOILERS,Flue Components Continued,P7924,Ideal 0.6m High Rise Horizontal Flue,208.78,3
BOILERS,Flue Components Continued,P7925,Ideal Flue Bracket - 100mm,23.75,1
BOILERS,Flue Components Continued,P7926,Ideal 90° Flue Elbow,63.73,3
BOILERS,Flue Components Continued,P7927,Ideal 45° Flue Elbow,115.06,3
BOILERS,Flue Components Continued,P7928,Ideal Vertical Flue Terminal with adaptor,265.44,3
BOILERS,Flue Components Continued,P7931,Ideal Plume Management Kit,137.48,3
BOILERS,Flue Components Continued,P7932,Ideal Plume Management 1000mm Extension,56.99,3
BOILERS,Flue Components Continued,P7933,Ideal Direct Rear Horizontal Flue Terminal,104.11,1
BOILERS,Flue Components Continued,P7935,Ideal Vertical Flue Connector,68.98,3
BOILERS,Flue Components Continued,P9211,Ideal Plume Management 90' Elbow,68.58,3
BOILERS,Flue Components Continued,P9212,Ideal Plume Management 45' Elbow (Pair),88.3,3
BOILERS,Flue Components Continued,P7929,Ideal Weather Collar (Pitched Roof),86.39,3
BOILERS,Flue Components Continued,P7930,Ideal Weather Collar (Flat Roof),72.08,3
BOILERS,Flue Components Continued,P7934,Ideal Direct Rear Flue with Plume Kit,204.04,1
BOILERS,Flue Components Continued,P0020,Keston High Rise Flue Kit 600mm,545.75,7
BOILERS,Flue Components Continued,P0021,Keston High Rise Flue Kit 900mm,689.65,7
BOILERS,Flue Components Continued,P0022,Keston Air Terminal Finishing Kit,36.98,7
BOILERS,Flue Components Continued,P0040,Keston Flue Exhaust Terminal,19.21,7
BOILERS,Flue Components Continued,P0041,Keston Flue Sleeve Kit,41.02,7
BOILERS,Flue Components Continued,P7952,Ariston Plume 45° Elbow (Ø60mm) - Pack of 2,49.34,5
BOILERS,Flue Components Continued,P7993,Ariston 45° Elbow (Pack of 2),89.74,5
BOILERS,Flue Components Continued,P7944,Ariston 90° Elbow,48.79,5
BOILERS,Flue Components Continued,P7956,Ariston 45° Elbow (125mm Single),44.92,5
BOILERS,Flue Components Continued,P7948,Ariston Extension - 500mm,44.47,0
BOILERS,Flue Components Continued,P7957,Ariston Extension (Ø80/125mm - 500mm),56.63,5
BOILERS,Flue Components Continued,P7936,Ariston Vertical Flue with Black Terminal,239.42,5
BOILERS,Flue Components Continued,P7992,Ariston Standard Horizontal Flue Kit,239.42,5
BOILERS,Flue Components Continued,P8004,Ariston Flat Roof Flashing Kit,55.01,5
BOILERS,Flue Components Continued,P8002,Ariston Pitched Flashing Kit 18-44,57.78,5
BOILERS,Flue Components Continued,P7947,Ariston Extension - 1000mm,60.47,5
BOILERS,Flue Components Continued,P7958,Ariston Adaptor/Vertical Starter (Ø60/100 - Ø80/125mm),26.88,5
BOILERS,Flue Components Continued,P7951,Ariston Plume Extension (Ø60mm) - 1000mm,36.85,5
BOILERS,Flue Components Continued,P7946,Ariston Extension - 2000mm,107.7,0
BOILERS,Flue Components Continued,P7937,Ariston Vertical Starter (Must be ordered with Vertical Flue),25.72,5
BOILERS,Flue Components Continued,P7955,Ariston 90° Elbow (125mm),58.87,5
BOILERS,Flue Components Continued,P7953,Ariston Horizontal Kit + Adaptor (Ø60/100 - Ø80/125mm),87.02,5
BOILERS,Flue Components Continued,P7994,Ariston Plume Kit (inc. 1000mm Horizontal Terminal),275.47,5
BOILERS,Flue Components Continued,P7900,Viessmann 100mm Horizontal Flue 1000mm,234.85,3
BOILERS,Flue Components Continued,P7901,Viessmann 100mm Flue Extension 1950mm,85.86,3
BOILERS,Flue Components Continued,P7902,Viessmann 100mm Flue Extension 1000mm,53.57,3
BOILERS,Flue Components Continued,P7903,Viessmann 100mm Flue Extension 500mm,39.95,3
BOILERS,Flue Components Continued,P7904,Viessmann 87' Flue Elbow,39.95,3
BOILERS,Flue Components Continued,P7905,Viessmann 45' Flue Bend (Pair),62.1,3
BOILERS,Flue Components Continued,P7906,Viessmann 100mm Vertical Flue Terminal (Black),234.85,3
BOILERS,Flue Components Continued,P7907,Viessmann Pitched Roof Flashing Kit,158.5,1
BOILERS,Flue Components Continued,P7908,Viessmann Flat Roof Flashing Kit,158.5,3
