section,subsection,component_id,description,selling_price_gbp,lead_time_days
Heat Pumps,,CAHP001,Vaillant aroTHERM plus 3.5kW,6666.67,0
Heat Pumps,,CAHP002,Vaillant aroTHERM plus 5kW,6666.67,0
Heat Pumps,,CAHP003,Vaillant aroTHERM plus 7kW,6666.67,0
Heat Pumps,,CAHP004,Vaillant aroTHERM plus 10kW,6666.67,0
Heat Pumps,,CAHP005,Vaillant aroTHERM plus 12kW,6666.67,0
Heat Pumps,,CAHP006,Vaillant aroTHERM plus 3.5kW,4750.0,7
Heat Pumps,,CAHP007,Vaillant aroTHERM plus 5kW,4830.0,7
Heat Pumps,,CAHP008,Vaillant aroTHERM plus 7kW,5050.0,7
Heat Pumps,,CAHP009,Vaillant aroTHERM plus 10kW,5950.0,7
Heat Pumps,,CAHP010,Vaillant aroTHERM plus 12kW,6130.0,7
Heat Pumps,,CAHP013,Daikin 9KW Altherma Monobloc,4470.0,7
Heat Pumps,,CAHP016,Daikin 16KW Altherma Monobloc,5240.0,7
Heat Pumps,,CAHP015,Daikin 14KW Altherma Monobloc,4960.0,7
Heat Pumps,,CAHP014,Daikin 11KW Altherma Monobloc,4730.0,7
Heat Pumps,,CAHP019,Daikin 8KW Altherma Monobloc,4150.0,7
Heat Pumps,,CAHP018,Daikin 6KW Altherma Monobloc,4050.0,7
Heat Pumps,,P1020,ASHP monobloc core install labour pack,3770.0,0
Heat Pumps,,P1021,ASHP Split Systems Core Install Labour Pack,4060.0,0
Heat Pumps,,P1022,"ASHP labour per radiator with repipe, under 150 m2",350.0,0
Heat Pumps,,P1023,"ASHP labour per radiator with repipe, over 150 m2",350.0,0
Heat Pumps,,P1024,"ASHP labour per radiator no repipe, under 150 m2",70.0,0
Heat Pumps,,P1026,ASHP power flush,480.0,0
Heat Pumps,,P1027,ASHP additional mechanical labour - 1 hour,60.0,0
Heat Pumps,,P1028,ASHP additional electrical labour - 1 hour,70.0,0
Heat Pumps,,CCYL1338,ALTECNIC HEAT PUMP BUFFER TANK 80 LITRE,276.24,7
