section,subsection,component_id,description,selling_price_gbp,lead_time_days
Price Alignment,,CP0001,Price Alignment,6.0,0
Price Alignment,,CP0002,Price Alignment,12.0,0
Price Alignment,,CP0003,Price Alignment,18.24,0
Price Alignment,,CP0004,Price Alignment,25.44,0
Price Alignment,,CP0005,Price Alignment,31.44,0
Price Alignment,,CP0006,Price Alignment,37.44,0
Price Alignment,,CP0007,Price Alignment,43.68,0
Price Alignment,,CP0008,Price Alignment,49.68,0
Price Alignment,,CP0009,Price Alignment,56.88,0
Price Alignment,,CP0010,Price Alignment,64.08,0
Price Alignment,,CP0011,Price Alignment,70.08,0
Price Alignment,,CP0012,Price Alignment,76.32,0
Price Alignment,,CP0013,Price Alignment,82.32,0
Price Alignment,,CP0014,Price Alignment,88.32,0
Price Alignment,,CP0015,Price Alignment,94.32,0
Price Alignment,,CP0016,Price Alignment,101.76,0
Price Alignment,,CP0017,Price Alignment,107.76,0
Price Alignment,,CP0018,Price Alignment,113.76,0
Price Alignment,,CP0019,Price Alignment,119.76,0
Price Alignment,,CP0020,Price Alignment,125.76,0
Price Alignment,,CP0021,Price Alignment,132.0,0
Price Alignment,,CP0022,Price Alignment,139.2,0
Price Alignment,,CP0023,Price Alignment,145.2,0
Price Alignment,,CP0024,Price Alignment,151.2,0
Price Alignment,,CP0025,Price Alignment,158.64,0
Price Alignment,,CP0026,Price Alignment,164.64,0
Price Alignment,,CP0027,Price Alignment,170.64,0
Price Alignment,,CP0028,Price Alignment,176.64,0
Price Alignment,,CP0029,Price Alignment,184.08,0
Price Alignment,,CP0030,Price Alignment,190.08,0
Price Alignment,,CP0031,Price Alignment,196.08,0
Price Alignment,,CP0032,Price Alignment,202.08,0
Price Alignment,,CP0033,Price Alignment,208.08,0
Price Alignment,,CP0034,Price Alignment,214.32,0
Price Alignment,,CP0035,Price Alignment,221.52,0
Price Alignment,,CP0036,Price Alignment,227.52,0
Price Alignment,,CP0037,Price Alignment,233.52,0
Price Alignment,,CP0038,Price Alignment,239.76,0
Price Alignment,,CP0039,Price Alignment,245.76,0
Price Alignment,,CP0040,Price Alignment,251.76,0
