section,subsection,component_id,description,selling_price_gbp,lead_time_days
Hive Hubs,Radiator Valves,P5501,Radiator valves (15mm angled WH & LS),40.69,1
Hive Hubs,Radiator Valves,P5502,Radiator valves (15mm angled WH & LS c/w Drain),41.83,1
Hive Hubs,Radiator Valves,P5503,Radiator valves (10/8mm angled WH & LS),40.69,1
Hive Hubs,Radiator Valves,P5504,Radiator valves (15mm straight WH & LS),41.83,1
Hive Hubs,Radiator Valves,P5506,Radiator Valves (15mm angled Chrome TRV & LS),51.65,1
Hive Hubs,Radiator Valves,P5507,Radiator Valves (10/8mm angled Chrome TRV & LS),51.65,1
Hive Hubs,Radiator Valves,P5508,Radiator Valves (15mm straight Chrome TRV & LS),51.65,1
Hive Hubs,Radiator Valves,P5510,Radiator Valves (15mm angled White TRV & LS),51.65,1
Hive Hubs,Radiator Valves,P5511,Radiator Valves (10/8mm angled White TRV & LS),44.5,1
Hive Hubs,Radiator Valves,P5512,Radiator Valves (15mm straight White TRV & LS),44.5,1
Hive Hubs,Radiator Valves,P5523,Radiator Valves (15mm angled TRV & LS c/w Drain),44.5,1
Hive Hubs,Radiator Valves,P5537,Radiator Valves (10/8mm angled WH & L/S c/w Drain),40.58,1
Hive Hubs,Radiator Valves,P5540,Radiator Valves (8mm angled TRV & LS c/w Drain),44.5,1
Hive Hubs,Radiator Valves,P5542,Radiator Valves (15mm angled Chrome TRV & LS c/w Drain),51.55,1
Hive Hubs,Radiator Valves,P5558,Radiator Valves (10/8mm angled Chrome TRV & LS c/w Drain),51.55,1
Hive Hubs,Radiator Valves,P5538,Radiator Valves (10/8mm angled White TRV & LS c/w Drain),44.5,1
Hive Hubs,"Powercleanse, Powerflush, Magnetic Filter, & Combisave",P1989,Systemcleanse,112.52,1
Hive Hubs,"Powercleanse, Powerflush, Magnetic Filter, & Combisave",P2016,Upgrade to Powerflush up to 10 Rads,310.33,1
Hive Hubs,"Powercleanse, Powerflush, Magnetic Filter, & Combisave",P2017,Upgrade to Powerflush 11 to 16 Rads,474.31,1
Hive Hubs,"Powercleanse, Powerflush, Magnetic Filter, & Combisave",P2018,Upgrade to Powerflush 16 Rads and Over,594.04,1
Hive Hubs,"Powercleanse, Powerflush, Magnetic Filter, & Combisave",P2746,Install 22mm Magnetic System Filter,185.36,1
Hive Hubs,"Powercleanse, Powerflush, Magnetic Filter, & Combisave",P2747,Install 28mm Magnetic System Filter,185.36,1
Hive Hubs,"Powercleanse, Powerflush, Magnetic Filter, & Combisave",P3229,Combi Smart,109.34,0
Hive Hubs,"Powercleanse, Powerflush, Magnetic Filter, & Combisave",P2744,Install 22mm Magnetic System Filter,184.62,1
Hive Hubs,"Powercleanse, Powerflush, Magnetic Filter, & Combisave",P2745,Install 28mm Magnetic System Filter,184.62,1
Hive Hubs,"Powercleanse, Powerflush, Magnetic Filter, & Combisave",P2010,System Water Treatment & Powerflush up to 10 rads,423.82,1
